Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [250/1299] D_loss: -0.0640, G_loss: 0.4041
  Batch [260/1299] D_loss: -0.1639, G_loss: -0.7199
  Batch [270/1299] D_loss: -0.8094, G_loss: 1.0797
  Batch [280/1299] D_loss: -0.3300, G_loss: -0.1864
  Batch [290/1299] D_loss: -0.1479, G_loss: 0.6494
  Batch [300/1299] D_loss: -0.0973, G_loss: -0.3147
  Batch [310/1299] D_loss: -0.5165, G_loss: 1.0854
  Batch [320/1299] D_loss: -0.7327, G_loss: -0.7619
  Batch [330/1299] D_loss: -0.3791, G_loss: 0.4366
  Batch [340/1299] D_loss: -0.5946, G_loss: -1.3485
  Batch [350/1299] D_loss: -0.9595, G_loss: 0.0291
  Batch [360/1299] D_loss: -0.6215, G_loss: 0.3240
  Batch [370/1299] D_loss: -0.8526, G_loss: -0.3128
  Batch [380/1299] D_loss: -1.2669, G_loss: -0.4722
  Batch [390/1299] D_loss: -0.0590, G_loss: 0.5814
  Batch [400/1299] D_loss: -0.5381, G_loss: -0.8782
  Batch [410/1299] D_loss: -0.7004, G_loss: 0.3305
  Batch [420/1299] D_loss: -0.7451, G_loss: 0.4217
  Batch [430/1299] D_loss: -0.4992, G_loss: -0.2601
  Batch [440/1299] D_loss: -0.1262, G_loss: 1.3995
  Batch [450/1299] D_loss: -0.4936, G_loss: -0.4341
  Batch [460/1299] D_loss: -0.2520, G_loss: -0.6920
  Batch [470/1299] D_loss: -0.2545, G_loss: 0.9795
  Batch [480/1299] D_loss: -0.7073, G_loss: 2.0543
  Batch [490/1299] D_loss: -0.6767, G_loss: 0.7748
  Batch [500/1299] D_loss: -0.8623, G_loss: 0.7758
  Batch [510/1299] D_loss: -0.3717, G_loss: -1.3951
  Batch [520/1299] D_loss: -0.5975, G_loss: 0.9868
  Batch [530/1299] D_loss: -0.5906, G_loss: -0.5259
  Batch [540/1299] D_loss: -0.9169, G_loss: -0.8160
  Batch [550/1299] D_loss: -0.8720, G_loss: 1.4698
  Batch [560/1299] D_loss: -0.5248, G_loss: 0.1110
  Batch [570/1299] D_loss: -1.4512, G_loss: 0.1031
  Batch [580/1299] D_loss: -0.6361, G_loss: 0.1414
  Batch [590/1299] D_loss: -0.1835, G_loss: -1.4579
  Batch [600/1299] D_loss: -0.0932, G_loss: 0.3778
  Batch [610/1299] D_loss: 0.0198, G_loss: 0.3211
  Batch [620/1299] D_loss: -0.5746, G_loss: -0.8493
  Batch [630/1299] D_loss: -0.0110, G_loss: -1.2116
  Batch [640/1299] D_loss: -0.1705, G_loss: 2.0636
  Batch [650/1299] D_loss: -0.7922, G_loss: 0.4725
  Batch [660/1299] D_loss: -0.4360, G_loss: 0.0468
  Batch [670/1299] D_loss: 0.0043, G_loss: -1.4876
  Batch [680/1299] D_loss: -0.6217, G_loss: 2.1951
  Batch [690/1299] D_loss: -0.3497, G_loss: -0.3682
  Batch [700/1299] D_loss: -0.7247, G_loss: -0.3245
  Batch [710/1299] D_loss: -0.4389, G_loss: -1.0815
  Batch [720/1299] D_loss: -0.5533, G_loss: 1.6573
  Batch [730/1299] D_loss: -0.6776, G_loss: -0.2139
  Batch [740/1299] D_loss: -0.9704, G_loss: 1.3270
  Batch [750/1299] D_loss: -0.7415, G_loss: -0.4772
  Batch [760/1299] D_loss: -0.4759, G_loss: 1.0391
  Batch [770/1299] D_loss: -0.9455, G_loss: -1.5066
  Batch [780/1299] D_loss: 0.1549, G_loss: -1.0186
  Batch [790/1299] D_loss: -0.1461, G_loss: 0.1875
  Batch [800/1299] D_loss: -0.1817, G_loss: 2.3642
  Batch [810/1299] D_loss: -0.0973, G_loss: -0.7547
  Batch [820/1299] D_loss: -0.6552, G_loss: 0.6582
  Batch [830/1299] D_loss: -0.3559, G_loss: -0.5619
  Batch [840/1299] D_loss: -0.3299, G_loss: 0.6150
  Batch [850/1299] D_loss: -0.6687, G_loss: 0.0676
  Batch [860/1299] D_loss: -0.1570, G_loss: 1.4601
  Batch [870/1299] D_loss: -0.3372, G_loss: -2.0737
  Batch [880/1299] D_loss: 0.0239, G_loss: -1.2832
  Batch [890/1299] D_loss: -0.1755, G_loss: 1.4427
  Batch [900/1299] D_loss: -0.0253, G_loss: -0.6124
