Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [20/1299] D_loss: -3.2382, G_loss: 0.4002
  Batch [30/1299] D_loss: -3.2190, G_loss: 0.0704
  Batch [40/1299] D_loss: -3.4624, G_loss: 0.3140
  Batch [50/1299] D_loss: -2.5720, G_loss: 1.2233
  Batch [60/1299] D_loss: -4.1797, G_loss: 0.8438
  Batch [70/1299] D_loss: -3.7431, G_loss: 1.3852
  Batch [80/1299] D_loss: -3.3744, G_loss: 0.8208
  Batch [90/1299] D_loss: -2.4971, G_loss: 1.2726
  Batch [100/1299] D_loss: -3.2588, G_loss: 1.7791
  Batch [110/1299] D_loss: -3.6520, G_loss: 1.5519
  Batch [120/1299] D_loss: -3.3550, G_loss: -0.3923
  Batch [130/1299] D_loss: -3.4531, G_loss: 0.3831
  Batch [140/1299] D_loss: -3.5199, G_loss: 2.4132
  Batch [150/1299] D_loss: -5.6597, G_loss: 1.5129
  Batch [160/1299] D_loss: -4.2686, G_loss: 1.0996
  Batch [170/1299] D_loss: -4.5328, G_loss: -1.0648
  Batch [180/1299] D_loss: -3.5498, G_loss: 0.9405
  Batch [190/1299] D_loss: -2.9150, G_loss: 1.6041
  Batch [200/1299] D_loss: -3.7024, G_loss: 2.2921
  Batch [210/1299] D_loss: -3.6300, G_loss: 0.7295
  Batch [220/1299] D_loss: -3.0327, G_loss: 3.2547
  Batch [230/1299] D_loss: -3.2872, G_loss: -0.3827
  Batch [240/1299] D_loss: -3.9549, G_loss: 0.3784
  Batch [250/1299] D_loss: -3.0784, G_loss: 1.2784
  Batch [260/1299] D_loss: -4.6346, G_loss: 1.2160
  Batch [270/1299] D_loss: -3.5015, G_loss: 1.4931
  Batch [280/1299] D_loss: -3.6906, G_loss: -1.3295
  Batch [290/1299] D_loss: -4.5839, G_loss: 2.7604
  Batch [300/1299] D_loss: -4.0174, G_loss: 1.7107
  Batch [310/1299] D_loss: -4.2326, G_loss: 1.3865
  Batch [320/1299] D_loss: -2.7582, G_loss: -0.8667
  Batch [330/1299] D_loss: -3.3620, G_loss: 2.0012
  Batch [340/1299] D_loss: -5.0939, G_loss: -0.8037
  Batch [350/1299] D_loss: -3.4725, G_loss: 1.9372
  Batch [360/1299] D_loss: -3.3049, G_loss: 2.1446
  Batch [370/1299] D_loss: -3.7908, G_loss: 3.8978
  Batch [380/1299] D_loss: -3.9948, G_loss: 2.2291
  Batch [390/1299] D_loss: -3.4027, G_loss: 1.0804
  Batch [400/1299] D_loss: -4.4812, G_loss: -1.0256
  Batch [410/1299] D_loss: -3.6930, G_loss: 0.6304
  Batch [420/1299] D_loss: -2.8283, G_loss: 2.2211
  Batch [430/1299] D_loss: -4.1351, G_loss: 1.4898
  Batch [440/1299] D_loss: -4.0974, G_loss: 2.1516
  Batch [450/1299] D_loss: -3.2064, G_loss: 1.5014
  Batch [460/1299] D_loss: -2.9761, G_loss: 2.2557
  Batch [470/1299] D_loss: -2.7328, G_loss: 2.3791
  Batch [480/1299] D_loss: -4.8696, G_loss: 3.8535
  Batch [490/1299] D_loss: -3.4481, G_loss: 1.1364
  Batch [500/1299] D_loss: -4.6819, G_loss: 0.3097
