Starting training for 200 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/200]
  Average D_loss: -0.3543
  Average G_loss: 0.1383

Models saved at epoch 1:
Generator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/saved_models/run_20250112_154358_dataset/generator_20250112_154358_dataset.pt
Discriminator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/saved_models/run_20250112_154358_dataset/discriminator_20250112_154358_dataset.pt
[34m[1mwandb[0m: [33mWARNING[0m Saving files without folders. If you want to preserve subdirectories pass base_path to wandb.save, i.e. wandb.save("/mnt/folder/file.h5", base_path="/mnt")

Epoch [2/200]
  Batch [0/1299] D_loss: -0.8176, G_loss: 0.3834
  Batch [10/1299] D_loss: -0.1114, G_loss: -0.0292
  Batch [20/1299] D_loss: -0.6246, G_loss: -0.5684
  Batch [30/1299] D_loss: -0.6132, G_loss: 0.4725
  Batch [40/1299] D_loss: -0.4445, G_loss: 0.3114
  Batch [50/1299] D_loss: -0.8023, G_loss: -0.0427
  Batch [60/1299] D_loss: -1.0313, G_loss: -0.2375
  Batch [70/1299] D_loss: -1.2520, G_loss: 0.4778
  Batch [80/1299] D_loss: -0.3931, G_loss: 0.3466
  Batch [90/1299] D_loss: -0.8535, G_loss: -0.1005
  Batch [100/1299] D_loss: -0.5969, G_loss: 0.1180
  Batch [110/1299] D_loss: -0.6060, G_loss: 0.0633
  Batch [120/1299] D_loss: -0.3935, G_loss: 0.3615
  Batch [130/1299] D_loss: -0.5640, G_loss: 0.2807
  Batch [140/1299] D_loss: -0.3636, G_loss: 0.2350
  Batch [150/1299] D_loss: -0.6224, G_loss: -0.1180
  Batch [160/1299] D_loss: -0.5780, G_loss: 0.1304
  Batch [170/1299] D_loss: -0.6206, G_loss: 0.0127
  Batch [180/1299] D_loss: -0.6007, G_loss: -0.3723
  Batch [190/1299] D_loss: -0.7256, G_loss: 0.1058
  Batch [200/1299] D_loss: -0.7809, G_loss: 0.0290
  Batch [210/1299] D_loss: -0.7045, G_loss: 0.1157
  Batch [220/1299] D_loss: -0.7691, G_loss: 0.3420
  Batch [230/1299] D_loss: -0.8556, G_loss: 0.1533
  Batch [240/1299] D_loss: -0.9387, G_loss: 0.2862
  Batch [250/1299] D_loss: -0.4326, G_loss: 0.2867
  Batch [260/1299] D_loss: -0.7416, G_loss: 0.1452
  Batch [270/1299] D_loss: -0.7826, G_loss: 0.0482
  Batch [280/1299] D_loss: -0.6798, G_loss: -0.1719
  Batch [290/1299] D_loss: -0.9121, G_loss: 0.3300
  Batch [300/1299] D_loss: -0.4040, G_loss: 0.4552
  Batch [310/1299] D_loss: -0.4353, G_loss: 0.3279
  Batch [320/1299] D_loss: -0.2640, G_loss: -0.3873
  Batch [330/1299] D_loss: -1.1300, G_loss: -0.0347
  Batch [340/1299] D_loss: -0.5447, G_loss: 0.1521
  Batch [350/1299] D_loss: -0.8131, G_loss: 0.1933
  Batch [360/1299] D_loss: -0.9584, G_loss: -0.0941
  Batch [370/1299] D_loss: -0.6395, G_loss: -0.1105
  Batch [380/1299] D_loss: -0.6668, G_loss: -0.0286
  Batch [390/1299] D_loss: -0.8670, G_loss: 0.0565
  Batch [400/1299] D_loss: -1.1854, G_loss: 0.0491
  Batch [410/1299] D_loss: -0.9671, G_loss: -0.0839
  Batch [420/1299] D_loss: -0.9672, G_loss: -0.1525
  Batch [430/1299] D_loss: -0.6452, G_loss: 0.0344
  Batch [440/1299] D_loss: -0.7350, G_loss: 0.2773
  Batch [450/1299] D_loss: -0.9493, G_loss: 0.1185
  Batch [460/1299] D_loss: -0.8292, G_loss: 0.5566
  Batch [470/1299] D_loss: -0.9372, G_loss: -0.0770
  Batch [480/1299] D_loss: -0.8219, G_loss: 0.3067
  Batch [490/1299] D_loss: -0.7077, G_loss: 0.1275
  Batch [500/1299] D_loss: -0.8748, G_loss: 0.3340
  Batch [510/1299] D_loss: -0.7121, G_loss: 0.1068
  Batch [520/1299] D_loss: -0.9961, G_loss: -0.4685
  Batch [530/1299] D_loss: -0.8504, G_loss: -0.1775
  Batch [540/1299] D_loss: -0.7941, G_loss: -0.1811
  Batch [550/1299] D_loss: -0.8070, G_loss: -0.2961
  Batch [560/1299] D_loss: -0.6705, G_loss: 0.2211
  Batch [570/1299] D_loss: -0.5850, G_loss: 0.2480
  Batch [580/1299] D_loss: -0.5719, G_loss: 0.1356
  Batch [590/1299] D_loss: -0.7594, G_loss: 0.0666
  Batch [600/1299] D_loss: -1.0718, G_loss: -0.3009
  Batch [610/1299] D_loss: -1.1711, G_loss: 0.0771
  Batch [620/1299] D_loss: -0.7642, G_loss: 0.3640
  Batch [630/1299] D_loss: -0.4645, G_loss: 0.2473
  Batch [640/1299] D_loss: -0.6849, G_loss: -0.0464
  Batch [650/1299] D_loss: -0.7181, G_loss: -0.1299
  Batch [660/1299] D_loss: -0.5525, G_loss: 0.1828
  Batch [670/1299] D_loss: -0.6615, G_loss: 0.0156
  Batch [680/1299] D_loss: -0.9402, G_loss: -0.4103
  Batch [690/1299] D_loss: -0.8339, G_loss: 0.3901
  Batch [700/1299] D_loss: -0.8601, G_loss: 0.1959
  Batch [710/1299] D_loss: -0.7096, G_loss: -0.0847
  Batch [720/1299] D_loss: -0.7864, G_loss: -0.1336
  Batch [730/1299] D_loss: -0.6295, G_loss: 0.2519
  Batch [740/1299] D_loss: -0.7755, G_loss: 0.3296
  Batch [750/1299] D_loss: -0.3971, G_loss: 0.4627
  Batch [760/1299] D_loss: -0.4705, G_loss: -0.1380
  Batch [770/1299] D_loss: -0.7645, G_loss: 0.1897
  Batch [780/1299] D_loss: -0.7471, G_loss: 0.3360
  Batch [790/1299] D_loss: -0.7495, G_loss: 0.1584
  Batch [800/1299] D_loss: -0.9925, G_loss: 0.3809
  Batch [810/1299] D_loss: -0.4474, G_loss: 0.0697
  Batch [820/1299] D_loss: -0.5434, G_loss: 0.2683
  Batch [830/1299] D_loss: -0.8216, G_loss: -0.3256
  Batch [840/1299] D_loss: -0.9042, G_loss: 0.1692
  Batch [850/1299] D_loss: -0.8213, G_loss: 0.0691
  Batch [860/1299] D_loss: -0.5645, G_loss: 0.5065
  Batch [870/1299] D_loss: -0.4403, G_loss: -0.1428
  Batch [880/1299] D_loss: -0.5387, G_loss: 0.1039
  Batch [890/1299] D_loss: -1.1841, G_loss: 0.1706
  Batch [900/1299] D_loss: -0.9726, G_loss: 0.3535
  Batch [910/1299] D_loss: -0.9949, G_loss: -0.4555
  Batch [920/1299] D_loss: -0.9537, G_loss: 0.1914
  Batch [930/1299] D_loss: -0.8120, G_loss: 0.2952
  Batch [940/1299] D_loss: -0.5109, G_loss: 0.1466
  Batch [950/1299] D_loss: -0.4316, G_loss: 0.2759
  Batch [960/1299] D_loss: -0.6438, G_loss: 0.2761
  Batch [970/1299] D_loss: -0.5228, G_loss: 0.1850
  Batch [980/1299] D_loss: -1.0319, G_loss: -0.4646
  Batch [990/1299] D_loss: -0.9880, G_loss: -0.1516
  Batch [1000/1299] D_loss: -0.7326, G_loss: 0.2244
  Batch [1010/1299] D_loss: -0.8294, G_loss: 0.2687
  Batch [1020/1299] D_loss: -0.4598, G_loss: 0.1264
  Batch [1030/1299] D_loss: -0.7449, G_loss: -0.2556
  Batch [1040/1299] D_loss: -0.8250, G_loss: 0.3051
  Batch [1050/1299] D_loss: -0.9015, G_loss: 0.3211
  Batch [1060/1299] D_loss: -0.5041, G_loss: 0.3596
  Batch [1070/1299] D_loss: -0.2505, G_loss: -0.0653
  Batch [1080/1299] D_loss: -0.6536, G_loss: -0.0948
  Batch [1090/1299] D_loss: -1.0742, G_loss: 0.3739
  Batch [1100/1299] D_loss: -0.6283, G_loss: 0.2354
  Batch [1110/1299] D_loss: -0.6594, G_loss: 0.2904
  Batch [1120/1299] D_loss: -0.6913, G_loss: 0.2587
  Batch [1130/1299] D_loss: -0.5947, G_loss: 0.1946
  Batch [1140/1299] D_loss: -0.5126, G_loss: 0.1944
  Batch [1150/1299] D_loss: -0.6362, G_loss: 0.1166
  Batch [1160/1299] D_loss: -0.9300, G_loss: -0.1071
  Batch [1170/1299] D_loss: -0.4506, G_loss: 0.2648
  Batch [1180/1299] D_loss: -0.6928, G_loss: 0.0870
  Batch [1190/1299] D_loss: -0.8757, G_loss: -0.1692
  Batch [1200/1299] D_loss: -0.7054, G_loss: -0.1360
  Batch [1210/1299] D_loss: -0.8721, G_loss: 0.1795
  Batch [1220/1299] D_loss: -1.0464, G_loss: -0.5258
  Batch [1230/1299] D_loss: -1.0299, G_loss: 0.2292
  Batch [1240/1299] D_loss: -0.4306, G_loss: 0.3324
  Batch [1250/1299] D_loss: -0.4070, G_loss: 0.1980
  Batch [1260/1299] D_loss: -0.6106, G_loss: 0.3742
  Batch [1270/1299] D_loss: -0.6150, G_loss: 0.1886
  Batch [1280/1299] D_loss: -1.2105, G_loss: -0.4945
  Batch [1290/1299] D_loss: -0.4900, G_loss: 0.5136

Epoch 2 Summary:
  Average D_loss: -0.3150
  Average G_loss: 0.1061

Epoch [3/200]
  Batch [0/1299] D_loss: -0.4868, G_loss: 0.4228
  Batch [10/1299] D_loss: -0.5181, G_loss: 0.0612
  Batch [20/1299] D_loss: -0.8183, G_loss: -0.1419
  Batch [30/1299] D_loss: -0.5393, G_loss: -0.1497
  Batch [40/1299] D_loss: -0.8923, G_loss: -0.0031
  Batch [50/1299] D_loss: -0.9297, G_loss: 0.1818
  Batch [60/1299] D_loss: -0.6826, G_loss: 0.2661
  Batch [70/1299] D_loss: -0.5010, G_loss: 0.2640
  Batch [80/1299] D_loss: -0.6959, G_loss: -0.1248
  Batch [90/1299] D_loss: -0.9424, G_loss: 0.2390
  Batch [100/1299] D_loss: -0.9435, G_loss: 0.1621
  Batch [110/1299] D_loss: -0.4853, G_loss: 0.1593
  Batch [120/1299] D_loss: -0.6807, G_loss: 0.4101
  Batch [130/1299] D_loss: -0.7443, G_loss: 0.2184
  Batch [140/1299] D_loss: -0.5711, G_loss: 0.0861
  Batch [150/1299] D_loss: -0.4285, G_loss: 0.0687
  Batch [160/1299] D_loss: -0.6325, G_loss: 0.3573
  Batch [170/1299] D_loss: -0.4726, G_loss: -0.0037
  Batch [180/1299] D_loss: -0.7919, G_loss: -0.7016
  Batch [190/1299] D_loss: -0.7111, G_loss: 0.4162
  Batch [200/1299] D_loss: -0.7228, G_loss: 0.5348
  Batch [210/1299] D_loss: -0.5575, G_loss: 0.2663
  Batch [220/1299] D_loss: -0.7379, G_loss: 0.1688
  Batch [230/1299] D_loss: -0.9658, G_loss: -0.5024
  Batch [240/1299] D_loss: -0.9037, G_loss: 0.1206
  Batch [250/1299] D_loss: -0.8177, G_loss: 0.0794
  Batch [260/1299] D_loss: -0.8574, G_loss: 0.2870
  Batch [270/1299] D_loss: -0.2077, G_loss: 0.2876
  Batch [280/1299] D_loss: -0.9110, G_loss: -0.0138
  Batch [290/1299] D_loss: -1.0028, G_loss: 0.1276
  Batch [300/1299] D_loss: -0.7786, G_loss: 0.6339
  Batch [310/1299] D_loss: -0.2319, G_loss: 0.2472
  Batch [320/1299] D_loss: -0.6743, G_loss: -0.6411
  Batch [330/1299] D_loss: -0.8854, G_loss: -0.0075
  Batch [340/1299] D_loss: -1.1227, G_loss: -0.2256
  Batch [350/1299] D_loss: -0.7431, G_loss: 0.1223
