Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [40/1299] D_loss: -0.3538, G_loss: -1.8216
  Batch [50/1299] D_loss: -0.2515, G_loss: 1.5972
  Batch [60/1299] D_loss: -0.2719, G_loss: -2.2938
  Batch [70/1299] D_loss: -0.1215, G_loss: -0.7060
  Batch [80/1299] D_loss: -0.7732, G_loss: 1.4936
  Batch [90/1299] D_loss: -0.8490, G_loss: 1.1240
  Batch [100/1299] D_loss: -0.4864, G_loss: 0.6419
  Batch [110/1299] D_loss: -1.3937, G_loss: 0.3834
  Batch [120/1299] D_loss: -0.6658, G_loss: 0.9099
  Batch [130/1299] D_loss: -0.5265, G_loss: 0.3837
  Batch [140/1299] D_loss: -0.4812, G_loss: -0.7546
  Batch [150/1299] D_loss: -0.5353, G_loss: -0.8554
  Batch [160/1299] D_loss: -0.2532, G_loss: 1.2234
  Batch [170/1299] D_loss: -0.4720, G_loss: -1.5998
  Batch [180/1299] D_loss: -0.8813, G_loss: 1.2885
  Batch [190/1299] D_loss: -0.1801, G_loss: 0.3252
  Batch [200/1299] D_loss: -0.0391, G_loss: -0.3981
  Batch [210/1299] D_loss: -0.5389, G_loss: 0.6778
  Batch [220/1299] D_loss: -0.4265, G_loss: -1.1649
  Batch [230/1299] D_loss: -0.6904, G_loss: 1.7875
  Batch [240/1299] D_loss: -0.1656, G_loss: -1.0535
  Batch [250/1299] D_loss: -0.6851, G_loss: 0.2337
  Batch [260/1299] D_loss: -0.7035, G_loss: 0.9605
  Batch [270/1299] D_loss: -0.9742, G_loss: 0.2227
  Batch [280/1299] D_loss: -0.9906, G_loss: 0.6930
  Batch [290/1299] D_loss: -0.0882, G_loss: -1.8460
  Batch [300/1299] D_loss: -0.5906, G_loss: 0.7374
  Batch [310/1299] D_loss: -0.6159, G_loss: 1.4961
  Batch [320/1299] D_loss: -0.3275, G_loss: -2.2301
  Batch [330/1299] D_loss: -0.8450, G_loss: 0.6983
  Batch [340/1299] D_loss: -0.0126, G_loss: -0.3433
  Batch [350/1299] D_loss: -0.6896, G_loss: 0.6378
  Batch [360/1299] D_loss: -0.1848, G_loss: -0.2108
  Batch [370/1299] D_loss: -0.8358, G_loss: 0.6526
  Batch [380/1299] D_loss: -0.3678, G_loss: 0.0167
  Batch [390/1299] D_loss: -0.2340, G_loss: 1.7101
  Batch [400/1299] D_loss: 0.0016, G_loss: -1.4402
  Batch [410/1299] D_loss: -0.4683, G_loss: 0.3997
  Batch [420/1299] D_loss: -0.8466, G_loss: 2.2650
  Batch [430/1299] D_loss: -0.1254, G_loss: -0.6527
  Batch [440/1299] D_loss: -0.7458, G_loss: 0.0577
  Batch [450/1299] D_loss: -0.1544, G_loss: -0.4331
  Batch [460/1299] D_loss: -0.8087, G_loss: 0.4305
  Batch [470/1299] D_loss: -0.5957, G_loss: -0.3003
  Batch [480/1299] D_loss: -0.2766, G_loss: -0.2065
  Batch [490/1299] D_loss: -0.7772, G_loss: 0.0640
  Batch [500/1299] D_loss: -0.6144, G_loss: -1.2933
  Batch [510/1299] D_loss: -0.8447, G_loss: 0.8936
  Batch [520/1299] D_loss: -0.3227, G_loss: -0.3181
  Batch [530/1299] D_loss: -0.1295, G_loss: -1.6221
  Batch [540/1299] D_loss: -0.8020, G_loss: 1.6118
  Batch [550/1299] D_loss: -0.5171, G_loss: 0.2174
  Batch [560/1299] D_loss: -0.8650, G_loss: 0.4745
  Batch [570/1299] D_loss: -1.0807, G_loss: 0.9342
  Batch [580/1299] D_loss: -0.6271, G_loss: -0.1545
  Batch [590/1299] D_loss: -0.4521, G_loss: -0.9322
  Batch [600/1299] D_loss: 0.0339, G_loss: 0.4740
  Batch [610/1299] D_loss: 0.0468, G_loss: -1.3382
  Batch [620/1299] D_loss: 0.2452, G_loss: 1.8556
  Batch [630/1299] D_loss: -0.4622, G_loss: -1.6861
  Batch [640/1299] D_loss: -1.3509, G_loss: 2.9808
  Batch [650/1299] D_loss: -0.7400, G_loss: 1.3134
  Batch [660/1299] D_loss: -0.9546, G_loss: -2.5036
  Batch [670/1299] D_loss: -0.9842, G_loss: 1.9889
  Batch [680/1299] D_loss: -0.4607, G_loss: 0.4044
  Batch [690/1299] D_loss: -0.0828, G_loss: -0.9748
  Batch [700/1299] D_loss: -0.5736, G_loss: 2.2328
  Batch [710/1299] D_loss: -0.2802, G_loss: 0.0020
  Batch [720/1299] D_loss: -0.5512, G_loss: -2.0596
  Batch [730/1299] D_loss: -0.6159, G_loss: 2.5794
  Batch [740/1299] D_loss: -0.0544, G_loss: 0.0241
  Batch [750/1299] D_loss: -0.3064, G_loss: -2.2972
  Batch [760/1299] D_loss: -2.2380, G_loss: 5.2981
  Batch [770/1299] D_loss: -0.0843, G_loss: -2.6915
  Batch [780/1299] D_loss: -0.1563, G_loss: -0.2908
  Batch [790/1299] D_loss: 0.1612, G_loss: 0.8888
  Batch [800/1299] D_loss: 0.0130, G_loss: -0.1682
  Batch [810/1299] D_loss: 0.0191, G_loss: -0.2897
  Batch [820/1299] D_loss: -0.2061, G_loss: -0.3343
  Batch [830/1299] D_loss: -0.3543, G_loss: 0.6256
  Batch [840/1299] D_loss: -0.5553, G_loss: -0.8259
  Batch [850/1299] D_loss: -0.9560, G_loss: 1.7392
  Batch [860/1299] D_loss: -0.8692, G_loss: 0.8867
  Batch [870/1299] D_loss: -0.9096, G_loss: 1.4222
  Batch [880/1299] D_loss: -0.1926, G_loss: 1.3368
  Batch [890/1299] D_loss: -0.3397, G_loss: -0.2976
  Batch [900/1299] D_loss: -0.4676, G_loss: 0.2302
  Batch [910/1299] D_loss: -0.5380, G_loss: -0.9326
  Batch [920/1299] D_loss: -0.5127, G_loss: -0.1975
  Batch [930/1299] D_loss: -0.1821, G_loss: -0.2887
  Batch [940/1299] D_loss: -0.1738, G_loss: 1.5695
  Batch [950/1299] D_loss: -0.6027, G_loss: -0.0994
  Batch [960/1299] D_loss: -0.3218, G_loss: -0.0503
  Batch [970/1299] D_loss: -1.1142, G_loss: 1.1029
  Batch [980/1299] D_loss: -0.2278, G_loss: -0.7429
  Batch [990/1299] D_loss: -0.7530, G_loss: -0.5217
  Batch [1000/1299] D_loss: -0.1878, G_loss: -1.0100
  Batch [1010/1299] D_loss: -0.6861, G_loss: 0.0809
  Batch [1020/1299] D_loss: 0.1710, G_loss: -1.2215
  Batch [1030/1299] D_loss: -0.2219, G_loss: -0.0078
  Batch [1040/1299] D_loss: -0.0437, G_loss: 0.4767
  Batch [1050/1299] D_loss: -0.6389, G_loss: -0.7836
  Batch [1060/1299] D_loss: -0.6958, G_loss: 0.4740
  Batch [1070/1299] D_loss: -0.7071, G_loss: 0.6842
  Batch [1080/1299] D_loss: -0.8175, G_loss: 1.5190
  Batch [1090/1299] D_loss: -0.4626, G_loss: -1.2490
  Batch [1100/1299] D_loss: -0.3699, G_loss: 2.0539
  Batch [1110/1299] D_loss: -0.7680, G_loss: 0.4252
  Batch [1120/1299] D_loss: -0.7540, G_loss: -2.1420
  Batch [1130/1299] D_loss: -1.2995, G_loss: 0.8280
  Batch [1140/1299] D_loss: -0.4517, G_loss: 0.8010
  Batch [1150/1299] D_loss: -0.8769, G_loss: -1.3073
  Batch [1160/1299] D_loss: -0.3045, G_loss: 2.7098
  Batch [1170/1299] D_loss: -0.9132, G_loss: -3.4590
  Batch [1180/1299] D_loss: -0.7474, G_loss: 2.0862
  Batch [1190/1299] D_loss: -1.0301, G_loss: -2.2865
  Batch [1200/1299] D_loss: -0.1942, G_loss: 1.1255
  Batch [1210/1299] D_loss: -0.4825, G_loss: 0.8506
  Batch [1220/1299] D_loss: -0.3995, G_loss: 0.3062
  Batch [1230/1299] D_loss: -0.6292, G_loss: -0.5493
  Batch [1240/1299] D_loss: -0.6278, G_loss: -1.4412
  Batch [1250/1299] D_loss: -0.1564, G_loss: -2.0268
  Batch [1260/1299] D_loss: -0.5256, G_loss: 1.2861
  Batch [1270/1299] D_loss: -0.0546, G_loss: 0.0197
  Batch [1280/1299] D_loss: -0.1741, G_loss: -0.8169
  Batch [1290/1299] D_loss: -0.0958, G_loss: 0.4222

Epoch 3 Summary:
  Average D_loss: -0.1997
  Average G_loss: 0.1040

Epoch [4/100]
  Batch [0/1299] D_loss: -0.2911, G_loss: -0.9781
  Batch [10/1299] D_loss: -0.1064, G_loss: 0.4773
  Batch [20/1299] D_loss: -0.3814, G_loss: 0.4088
  Batch [30/1299] D_loss: -0.6611, G_loss: 0.6115
  Batch [40/1299] D_loss: -0.5532, G_loss: -1.2396
