Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps
Using negative detector: True

Epoch [1/100]
  Batch [530/1299] D_loss: -2.7194, G_loss: 2.1924, Neg_prop: 0.280, Neg_mag: 0.046
  Batch [540/1299] D_loss: -4.4445, G_loss: 1.8618, Neg_prop: 0.281, Neg_mag: 0.048
  Batch [550/1299] D_loss: -4.7113, G_loss: 4.4500, Neg_prop: 0.282, Neg_mag: 0.048
  Batch [560/1299] D_loss: -4.0283, G_loss: 3.7400, Neg_prop: 0.274, Neg_mag: 0.046
  Batch [570/1299] D_loss: -3.2025, G_loss: 0.5019, Neg_prop: 0.272, Neg_mag: 0.046
  Batch [580/1299] D_loss: -3.0468, G_loss: 0.5122, Neg_prop: 0.273, Neg_mag: 0.046
  Batch [590/1299] D_loss: -4.2601, G_loss: 2.5849, Neg_prop: 0.272, Neg_mag: 0.045
  Batch [600/1299] D_loss: -4.1698, G_loss: -0.8140, Neg_prop: 0.274, Neg_mag: 0.046
  Batch [610/1299] D_loss: -3.6776, G_loss: 3.6294, Neg_prop: 0.272, Neg_mag: 0.044
  Batch [620/1299] D_loss: -3.5294, G_loss: 1.7219, Neg_prop: 0.271, Neg_mag: 0.044
  Batch [630/1299] D_loss: -2.8491, G_loss: 2.1860, Neg_prop: 0.270, Neg_mag: 0.045
  Batch [640/1299] D_loss: -3.3814, G_loss: 1.4260, Neg_prop: 0.279, Neg_mag: 0.046
  Batch [650/1299] D_loss: -4.1961, G_loss: 5.8536, Neg_prop: 0.273, Neg_mag: 0.047
  Batch [660/1299] D_loss: -4.5042, G_loss: -0.7427, Neg_prop: 0.274, Neg_mag: 0.044
  Batch [670/1299] D_loss: -1.6211, G_loss: 2.3910, Neg_prop: 0.274, Neg_mag: 0.047
  Batch [680/1299] D_loss: -3.3279, G_loss: 1.6237, Neg_prop: 0.271, Neg_mag: 0.045
  Batch [690/1299] D_loss: -3.1856, G_loss: 3.1844, Neg_prop: 0.269, Neg_mag: 0.044
  Batch [700/1299] D_loss: -4.1238, G_loss: 3.7161, Neg_prop: 0.283, Neg_mag: 0.046
  Batch [710/1299] D_loss: -5.2278, G_loss: 1.3750, Neg_prop: 0.274, Neg_mag: 0.045
  Batch [720/1299] D_loss: -2.7187, G_loss: 2.0446, Neg_prop: 0.263, Neg_mag: 0.043
  Batch [730/1299] D_loss: -4.0885, G_loss: 4.1185, Neg_prop: 0.277, Neg_mag: 0.045
  Batch [740/1299] D_loss: -3.8216, G_loss: 3.7649, Neg_prop: 0.268, Neg_mag: 0.045
  Batch [750/1299] D_loss: -3.9972, G_loss: 3.5327, Neg_prop: 0.277, Neg_mag: 0.045
  Batch [760/1299] D_loss: -4.8298, G_loss: 1.3410, Neg_prop: 0.272, Neg_mag: 0.045
  Batch [770/1299] D_loss: -3.5889, G_loss: 1.5742, Neg_prop: 0.272, Neg_mag: 0.044
  Batch [780/1299] D_loss: -4.7423, G_loss: 5.3739, Neg_prop: 0.277, Neg_mag: 0.045
  Batch [790/1299] D_loss: -3.0234, G_loss: 3.0225, Neg_prop: 0.277, Neg_mag: 0.045
  Batch [800/1299] D_loss: -4.0370, G_loss: 3.2606, Neg_prop: 0.272, Neg_mag: 0.043
  Batch [810/1299] D_loss: -3.9301, G_loss: 2.5404, Neg_prop: 0.271, Neg_mag: 0.044
  Batch [820/1299] D_loss: -3.7929, G_loss: 1.1173, Neg_prop: 0.268, Neg_mag: 0.043
  Batch [830/1299] D_loss: -3.7697, G_loss: 4.1303, Neg_prop: 0.270, Neg_mag: 0.045
  Batch [840/1299] D_loss: -3.8224, G_loss: 3.6070, Neg_prop: 0.277, Neg_mag: 0.045
  Batch [850/1299] D_loss: -4.3817, G_loss: 4.2946, Neg_prop: 0.282, Neg_mag: 0.048
  Batch [860/1299] D_loss: -3.8487, G_loss: 1.0245, Neg_prop: 0.266, Neg_mag: 0.043
  Batch [870/1299] D_loss: -2.3991, G_loss: 3.2451, Neg_prop: 0.269, Neg_mag: 0.043
  Batch [880/1299] D_loss: -3.8803, G_loss: 0.1880, Neg_prop: 0.277, Neg_mag: 0.044
  Batch [890/1299] D_loss: -4.2785, G_loss: 3.4751, Neg_prop: 0.273, Neg_mag: 0.044
  Batch [900/1299] D_loss: -3.4855, G_loss: 1.2569, Neg_prop: 0.261, Neg_mag: 0.042
